year,month,production_total,production_low_alc,production_medium_alc,production_high_alc,production_sparkling,production_hard_cider,yoy_production_change_pct
2023,9,135500090.0,60074911.0,2717048.0,2717048.0,2019204.0,2782383.0,-42.47
2023,10,231956226.0,107444947.0,3287427.0,3287427.0,2507997.0,2543637.0,-13.75
2023,11,329729485.0,156748287.0,4079109.0,4079109.0,1831164.0,2117099.0,43.12
2023,12,430014117.0,205199816.0,3903171.0,3903171.0,1461378.0,4271409.0,36.29
2024,1,122496629.0,54175571.0,3360178.0,3360178.0,1994068.0,1619013.0,-0.38
2024,2,77566481.0,31269195.0,3623436.0,3623436.0,2112459.0,1651751.0,24.25
2024,3,67754561.0,25646595.0,3365345.0,3365345.0,2120416.0,2590660.0,9.04
2024,4,40868767.0,12429395.0,2899662.0,2899662.0,3237838.0,1758476.0,-4.77
2024,5,35244408.0,10225325.0,2606476.0,2606476.0,2894986.0,1733741.0,12.34
2024,6,38290485.0,9638610.0,3794187.0,3794187.0,2637231.0,2855728.0,16.02
2024,7,19655459.0,1953215.0,3678924.0,3678924.0,2574020.0,1534150.0,-15.08
2024,8,40208675.0,13171513.0,2978461.0,2978461.0,2180121.0,1673620.0,12.54
2024,9,201757120.0,93508354.0,2618324.0,2618324.0,2139388.0,2467697.0,48.9
2024,10,253885904.0,118082540.0,5535108.0,5535108.0,1839114.0,1374830.0,9.45
2024,11,141595853.0,62948339.0,4029129.0,4029129.0,1921277.0,1711230.0,-57.06
2024,12,267723015.0,125066600.0,3921279.0,3921279.0,1099811.0,3531671.0,-37.74
2025,1,88021495.0,38203388.0,2399418.0,2399418.0,2028361.0,1314996.0,-28.14
2025,2,61393938.0,24301701.0,2599737.0,2599737.0,2494943.0,1173863.0,-20.85
2025,3,56777410.0,20356802.0,3870241.0,3870241.0,1753094.0,2252565.0,-16.2
2025,4,32273963.0,9391440.0,3390877.0,3390877.0,1943689.0,1203666.0,-21.03
2025,5,14688338.0,2264909.0,1912448.0,1912448.0,1555213.0,1363891.0,-58.32
2025,6,26808768.0,7417838.0,2148365.0,2148365.0,1822377.0,1824725.0,-29.99
2025,7,24906616.0,6739801.0,1965476.0,1965476.0,1872803.0,1559753.0,26.72
2025,8,37516921.0,13048880.0,2775448.0,2775448.0,1465019.0,1382761.0,-6.69
2025,9,164314086.0,74372728.0,3349101.0,3349101.0,1543589.0,2555151.0,-18.56
2025,10,237267368.0,109652020.0,5802586.0,5802586.0,1402660.0,1664758.0,-6.55
